Disaster,State,County,City,Zip Code,Valid Registrations,Total Inspected,Inspected with No Damage,Total with Moderate Damage,Total with Major Damage,Total with Substantial Damage,Approved for FEMA Assistance,Total Approved IHP Amount,Repair/Replace Amount,Rental Amount,Other Needs Amount,"Approved between $1 and $10,000","Approved between $10,001 and $25,000","Approved between $25,001 and Max",Total Max Grants
4447,OH,Darke (County),NEW MADISON,45346,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4447,OH,Greene (County),BEAVER CREEK,45431,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4447,OH,Greene (County),BEAVERCREEK,45430,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
4447,OH,Greene (County),BEAVERCREEK,45431,90,56,20,28,8,0,37,132598,0,72207,60391,36,1,0,0
4447,OH,Greene (County),BEAVERCREEK,45434,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4447,OH,Greene (County),BELLBROOK,45305,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4447,OH,Greene (County),DAYTON,45431,23,13,5,5,3,0,5,11619,0,9742,1877,5,0,0,0
4447,OH,Greene (County),DAYTON,45432,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4447,OH,Greene (County),DAYTON,45433,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4447,OH,Greene (County),FAIRBORN,45324,10,5,5,0,0,0,0,0,0,0,0,0,0,0,0
4447,OH,Greene (County),HUBER HEIGHTS,45424,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4447,OH,Greene (County),XENIA,45385,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0
4447,OH,Greene (County),YELLOW SPRINGS,45387,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0
4447,OH,Hocking (County),LAURELVILLE,43135,3,1,0,0,1,0,1,4177,0,1142,3035,1,0,0,0
4447,OH,Hocking (County),ROCKBRIDGE,43149,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
4447,OH,Mahoning (County),AUSTINTOWN,44515,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
4447,OH,Mahoning (County),BOARDMAN,44512,14,12,7,5,0,0,7,11713,0,5622,6091,7,0,0,0
4447,OH,Mahoning (County),CAMPBELL,44405,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0
4447,OH,Mahoning (County),CANFIELD,44406,44,39,15,24,0,0,25,57854,0,24983,32871,25,0,0,0
4447,OH,Mahoning (County),DUBLIN,43017,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
4447,OH,Mahoning (County),HUBBARD,44425,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4447,OH,Mahoning (County),LAKE MILTON,44429,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0
4447,OH,Mahoning (County),LOWELLVILLE,44436,1,1,0,1,0,0,1,3294,0,1794,1500,1,0,0,0
4447,OH,Mahoning (County),NEW ALBANY,43054,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0
4447,OH,Mahoning (County),STRUTHERS,44471,2,2,2,0,0,0,1,242,0,0,242,1,0,0,0
4447,OH,Mahoning (County),YOUNGSTOWN,44502,27,26,19,7,0,0,11,13938,0,7442,6496,11,0,0,0
4447,OH,Mahoning (County),YOUNGSTOWN,44504,7,7,6,1,0,0,2,3405,0,2280,1125,2,0,0,0
4447,OH,Mahoning (County),YOUNGSTOWN,44505,17,16,14,2,0,0,2,4018,0,2882,1136,2,0,0,0
4447,OH,Mahoning (County),YOUNGSTOWN,44506,4,4,3,1,0,0,1,1794,0,1794,0,1,0,0,0
4447,OH,Mahoning (County),YOUNGSTOWN,44507,11,11,10,1,0,0,1,484,0,0,484,1,0,0,0
4447,OH,Mahoning (County),YOUNGSTOWN,44509,13,13,12,1,0,0,1,4895,0,1794,3101,1,0,0,0
