,State,County,Zip_Code,year,Annual Change (%),HPI
0,AL,Autauga,1001,1986,0.0,100
1,AL,Autauga,1001,1987,-2.31,97.69
2,AL,Autauga,1001,1988,3.36,100.97
3,AL,Autauga,1001,1989,4.26,105.27
4,AL,Autauga,1001,1990,-0.4,104.86
5,AL,Autauga,1001,1991,2.68,107.67
6,AL,Autauga,1001,1992,2.87,110.76
7,AL,Autauga,1001,1993,3.41,114.54
8,AL,Autauga,1001,1994,4.32,119.49
9,AL,Autauga,1001,1995,3.52,123.7
10,AL,Autauga,1001,1996,2.65,126.98
11,AL,Autauga,1001,1997,3.41,131.3
12,AL,Autauga,1001,1998,3.3,135.64
13,AL,Autauga,1001,1999,1.53,137.72
14,AL,Autauga,1001,2000,2.4,141.02
15,AL,Autauga,1001,2001,3.47,145.92
16,AL,Autauga,1001,2002,2.51,149.58
17,AL,Autauga,1001,2003,1.75,152.2
18,AL,Autauga,1001,2004,2.59,156.14
19,AL,Autauga,1001,2005,7.23,167.43
20,AL,Autauga,1001,2006,7.49,179.97
21,AL,Autauga,1001,2007,4.45,187.98
22,AL,Autauga,1001,2008,0.04,188.04
23,AL,Autauga,1001,2009,-2.16,183.98
24,AL,Autauga,1001,2010,-2.95,178.56
25,AL,Autauga,1001,2011,-2.51,174.08
26,AL,Autauga,1001,2012,-3.05,168.77
27,AL,Autauga,1001,2013,0.55,169.7
28,AL,Autauga,1001,2014,0.68,170.85
29,AL,Autauga,1001,2015,0.99,172.54
30,AL,Autauga,1001,2016,1.67,175.43
31,AL,Autauga,1001,2017,2.53,179.87
32,AL,Autauga,1001,2018,0.39,180.57
33,AL,Baldwin,1003,1977,0.0,100
34,AL,Baldwin,1003,1978,2.05,102.05
35,AL,Baldwin,1003,1979,3.15,105.27
36,AL,Baldwin,1003,1980,22.96,129.44
37,AL,Baldwin,1003,1981,-15.2,109.77
38,AL,Baldwin,1003,1982,0.89,110.74
39,AL,Baldwin,1003,1983,26.72,140.33
40,AL,Baldwin,1003,1984,-2.78,136.42
41,AL,Baldwin,1003,1985,1.53,138.52
42,AL,Baldwin,1003,1986,-1.28,136.74
43,AL,Baldwin,1003,1987,0.41,137.3
44,AL,Baldwin,1003,1988,1.0,138.67
45,AL,Baldwin,1003,1989,2.54,142.19
46,AL,Baldwin,1003,1990,2.28,145.44
